,County,State,Price,Population
357,Carroll County,MD,452748,175305
358,Hendricks County,IN,326423,182534
359,McLean County,IL,227156,171141
360,Winnebago County,WI,260528,170718
361,Pitt County,NC,248890,173542
362,Guadalupe County,TX,322191,182760
363,Kent County,RI,385243,171275
364,Alamance County,NC,276713,176353
365,Kenosha County,WI,281486,167817
366,Wyandotte County,KS,183244,165746
367,Kootenai County,ID,545151,183578
368,Kenton County,KY,252393,170313
369,Beaver County,PA,185501,165677
370,Monroe County,PA,287216,167198
371,Aiken County,SC,205548,174150
372,Davidson County,NC,246927,172586
373,Pueblo County,CO,287875,169544
374,Chittenden County,VT,517458,169301
375,Greene County,OH,266067,168456
376,Midland County,TX,294717,171999
377,Paulding County,GA,337968,178421
378,Charles County,MD,428627,170102
379,Maui County,HI,1051004,164351
380,Yellowstone County,MT,383958,169852
381,Rock County,WI,246877,164060
382,Portage County,OH,239355,161745
383,Hampshire County,MA,417042,162588
384,Ector County,TX,211709,160869
385,Houston County,GA,231863,169631
386,Dorchester County,SC,346764,166133
387,Rensselaer County,NY,280171,159853
388,Olmsted County,MN,323394,164020
389,Jackson County,MI,196312,160066
390,Ouachita Parish,LA,162745,157702
391,Johnson County,IN,292061,165782
392,Catawba County,NC,266441,163462
393,Centre County,PA,316746,158425
394,Indian River County,FL,385204,167352
395,Martin County,FL,552998,162006
396,Sullivan County,TN,234394,160820
397,Stearns County,MN,289628,160405
398,Fairfield County,OH,318292,162898
399,Schenectady County,NY,259044,160093
400,Bibb County,GA,154693,156197
401,Madera County,CA,393431,160256
402,Comal County,TX,454673,184642
403,Rankin County,MS,252287,158979
404,Franklin County,PA,259881,156902
405,Cumberland County,NJ,239552,151356
406,Mesa County,CO,393997,158636
407,Columbia County,GA,304865,162419
408,Berrien County,MI,238428,152900
409,Stafford County,VA,489508,163380
410,Monroe County,MI,238246,155609
411,Washington County,MD,301328,155590
412,Santa Fe County,NM,556793,155664
413,Merrimack County,NH,434628,156020
414,Penobscot County,ME,250766,153704
415,Citrus County,FL,284369,162529
416,Kings County,CA,334293,152981
417,Johnson County,IA,326319,156420
418,Canadian County,OK,254629,169149
419,Scott County,MN,423403,154520
420,Sandoval County,NM,345588,153501
421,Orange County,NC,495799,150477
422,Rowan County,NC,255879,149645
423,Sussex County,NJ,402818,146084
424,Coweta County,GA,374894,152882
425,Coconino County,AZ,622669,144060
426,Parker County,TX,421348,165834
427,Wilson County,TN,476416,158555
428,Rock Island County,IL,143699,141527
429,Randolph County,NC,242213,146043
430,Douglas County,GA,305670,147316
431,Schuylkill County,PA,130291,143104
432,Jackson County,MS,193214,144975
433,Lebanon County,PA,271044,144011
434,Taylor County,TX,193378,145163
435,Livingston Parish,LA,237571,148425
436,Monroe County,IN,304823,139745
437,Kaufman County,TX,323324,172366
438,Wright County,MN,365317,148003
439,Randall County,TX,242513,146140
440,Napa County,CA,924307,134300
441,Spotsylvania County,VA,404294,146688
442,Marathon County,WI,225824,137958
443,Florence County,SC,187588,136721
444,Humboldt County,CA,444743,135010
445,Washington County,WI,391782,137688
446,Clark County,OH,174030,134831
447,Boone County,KY,312494,139093
448,Calhoun County,MI,169766,133289
449,Grayson County,TX,274616,143131
450,Cambria County,PA,104838,131441
451,Blount County,TN,359280,139958
452,Brunswick County,NC,434682,153064
453,Harnett County,NC,278780,138832
454,Warren County,KY,269081,139843
455,Tazewell County,IL,156988,129911
456,Washington County,TN,280247,136172
457,Wood County,OH,218460,131592
458,Tangipahoa Parish,LA,208641,137048
459,Cache County,UT,449951,140173
460,Black Hawk County,IA,180561,130274
461,Kendall County,IL,350597,137254
462,Strafford County,NH,441829,132275
463,Rapides Parish,LA,159048,127189
464,Madison County,IN,164456,131744
465,Washington County,RI,604768,130330
466,Pickens County,SC,275927,133462
467,Wichita County,TX,155750,129978
468,Fayette County,PA,134279,125755
469,Berkshire County,MA,356483,127859
470,Hunterdon County,NJ,575795,129777
471,Skagit County,WA,551831,131179
472,Clarke County,GA,313704,129875
473,Chautauqua County,NY,158037,126027
474,Bossier Parish,LA,225921,129276
475,Sebastian County,AR,179580,129059
476,Sumter County,FL,402773,144970
477,Linn County,OR,393769,130467
478,Ascension Parish,LA,285885,130458
479,Cochise County,AZ,245292,125663
480,Richland County,OH,165624,125319
481,Gregg County,TX,213052,125443
482,Kennebec County,ME,301334,125540
483,Faulkner County,AR,234446,127665
484,Blair County,PA,167462,121032
485,San Juan County,NM,226654,120418
486,Morgan County,AL,220109,124211
487,Saline County,AR,236037,127357
488,Jasper County,MO,202760,124075
489,Bonneville County,ID,377912,129496
490,Comanche County,OK,134705,123046
491,Berkeley County,WV,287473,129490
492,La Crosse County,WI,280229,120294
493,Clark County,IN,241367,124237
494,Allegan County,MI,292045,121210
495,Tom Green County,TX,220906,118892
496,Potter County,TX,134706,115645
497,Robeson County,NC,126947,116663
498,Douglas County,KS,298236,119964
499,Carroll County,GA,278161,124592
500,Oswego County,NY,173220,118287
501,Wayne County,NC,168937,117286
502,Fayette County,GA,465435,122030
503,Jefferson County,NY,200487,116637
504,Sheboygan County,WI,264243,117841
505,Lowndes County,GA,198549,119739
506,Missoula County,MT,538857,121041
507,Wayne County,OH,252112,116559
508,Calhoun County,AL,149628,115788
509,Gallatin County,MT,724997,124857
510,Henderson County,NC,416592,118106
511,Lycoming County,PA,212133,113104
512,Flagler County,FL,367671,126705
513,Delaware County,IN,142039,112031
514,Ontario County,NY,271299,112707
515,Albemarle County,VA,511448,114534
516,Newton County,GA,292253,117621
517,Mercer County,PA,162720,109220
518,Douglas County,OR,332811,112297
519,Androscoggin County,ME,306123,113023
520,Hardin County,KY,209720,111862
521,Terrebonne Parish,LA,174817,104786
522,Craighead County,AR,202269,113017
523,Cowlitz County,WA,397668,111956
524,Warren County,NJ,377742,110926
525,Hanover County,VA,397369,112938
526,Eaton County,MI,236099,108992
527,Pennington County,SD,336762,114461
528,Madison County,MS,320695,111113
529,Kankakee County,IL,191912,106074
530,Bartow County,GA,305813,112816
531,Miami County,OH,229068,110247
532,Bradley County,TN,285125,110616
533,Yamhill County,OR,491430,108226
534,Cass County,MO,300915,110394
535,Navajo County,AZ,376891,108650
536,Vigo County,IN,141720,106006
537,Houston County,AL,180403,108079
538,Walworth County,WI,361600,105380
539,Carver County,MN,458024,110034
540,Monongalia County,WV,249729,106869
541,Tompkins County,NY,318689,104777
542,Sumter County,SC,177804,104012
543,Rockwall County,TX,420145,123208
544,Eau Claire County,WI,288818,106837
545,Platte County,MO,353412,110534
546,Woodbury County,IA,188432,105671
547,Macon County,IL,104228,101483
548,Franklin County,MO,244846,105879
549,Bay County,MI,155086,102821
550,Fond du Lac County,WI,243883,103836
551,Adams County,PA,291005,106027
552,Etowah County,AL,161672,103088
553,Flathead County,MT,607915,111814
554,Cecil County,MD,343954,104942
555,Wicomico County,MD,250328,104664
556,Whitfield County,GA,227716,103132
557,Daviess County,KY,189377,103222
558,Allen County,OH,166751,101115
559,Columbiana County,OH,143044,100511
560,Nevada County,CA,614473,102293
561,Limestone County,AL,308499,110900
562,Craven County,NC,253734,100874
563,Highlands County,FL,241689,105618
564,DeKalb County,IL,251979,100232
565,Laramie County,WY,366447,100723
566,Garland County,AR,234855,100089
567,Lenawee County,MI,208448,98567
568,Montgomery County,VA,314892,98915
569,Sutter County,CA,424141,98503
570,Maury County,TN,379606,108159
571,Cleveland County,NC,182620,100670
572,Hunt County,TX,282658,108282
573,Dubuque County,IA,240120,98677
574,Moore County,NC,400045,105531
575,Madison County,TN,216941,99245
576,Floyd County,GA,210514,99443
577,Story County,IA,284409,99673
578,Sevier County,TN,417319,98789
579,Putnam County,NY,505484,98045
580,Burleigh County,ND,351960,99280
581,Grant County,WA,346266,101311
582,Ashtabula County,OH,163907,97014
583,Lafourche Parish,LA,178622,95870
584,Marshall County,AL,213949,99423
585,Fairbanks North Star Borough,AK,293758,95356
586,Dallas County,IA,367107,108016
587,Roanoke County,VA,298131,96914
588,Sherburne County,MN,369397,100824
589,Cape May County,NJ,655634,95634
590,Walton County,GA,363664,103065
591,Geauga County,OH,341647,95469
592,Franklin County,WA,401465,98678
593,Bastrop County,TX,366603,106188
594,Benton County,OR,530966,97630
595,Lancaster County,SC,370162,104577
596,Rogers County,OK,263586,98836
597,Nash County,NC,218411,95789
598,Cabell County,WV,136873,92730
599,Grand Traverse County,MI,392800,96464
600,Steuben County,NY,157701,92599
601,Lauderdale County,AL,205925,95878
602,Pottawattamie County,IA,207296,93173
603,Tuscarawas County,OH,187088,91937
604,Rockdale County,GA,308950,94984
605,Bowie County,TX,180456,92035
606,Campbell County,KY,252038,93300
607,Calvert County,MD,452231,94573
608,Madison County,KY,245623,95187
609,Northumberland County,PA,133702,90133
610,Mendocino County,CA,501451,89783
611,Wayne County,NY,207834,91125
612,Victoria County,TX,209435,91065
613,Grafton County,NH,389425,91126
614,Ozaukee County,WI,442485,93009
615,Rockingham County,NC,178967,91957
616,Frederick County,VA,387484,95051
617,Liberty County,TX,232954,101992
618,Dodge County,WI,264007,88282
619,Twin Falls County,ID,354396,93696
620,Lapeer County,MI,272627,88780
621,Nassau County,FL,448307,97899
622,Burke County,NC,228570,87881
623,Christian County,MO,290530,93114
624,Josephine County,OR,395075,87730
625,Elmore County,AL,247687,89563
626,Cullman County,AL,228656,90665
627,Dougherty County,GA,115816,82966
628,Angelina County,TX,187659,87101
629,Bannock County,ID,331757,89517
630,Polk County,OR,459696,89614
631,Muskingum County,OH,178078,86113
632,Lawrence County,PA,146790,84849
633,Island County,WA,601068,86625
634,Lincoln County,NC,367668,93095
635,Buchanan County,MO,154099,82911
636,Newport County,RI,695534,84481
637,Orange County,TX,169061,84934
638,Orangeburg County,SC,140542,83094
639,Jefferson County,WI,318141,85784
640,Wood County,WV,159618,83340
641,Crawford County,PA,150852,82670
642,Chemung County,NY,147325,81426
643,Glynn County,GA,314194,85079
644,Cascade County,MT,307675,84864
645,Indiana County,PA,149038,82957
646,Midland County,MI,205027,83674
647,Lee County,MS,187404,82959
648,Howard County,IN,159387,83574
649,Rockingham County,VA,321581,85397
650,Monroe County,FL,1084501,81708
651,Barrow County,GA,329873,89299
652,Talladega County,AL,177711,80704
653,Payne County,OK,207872,82794
654,Henderson County,TX,273530,84511
655,Bartholomew County,IN,247222,83540
656,Bullitt County,KY,256629,83836
657,Coryell County,TX,223745,85057
658,Leavenworth County,KS,304472,82892
659,Lewis County,WA,417785,85370
660,Manitowoc County,WI,231434,81172
661,Cape Girardeau County,MO,219526,82899
662,Caldwell County,NC,207796,80492
663,Clearfield County,PA,123380,77904
664,Wagoner County,OK,256921,86644
665,Yuba County,CA,402425,84310
666,Kosciusko County,IN,262957,80826
667,Clinton County,NY,200938,78753
668,Bulloch County,GA,247163,83059
669,Umatilla County,OR,293765,80215
670,Natrona County,WY,282369,79601
671,Floyd County,IN,257902,80714
672,Bedford County,VA,314098,80848
673,Putnam County,TN,288483,82382
674,Clinton County,MI,273895,79748
675,Wilson County,NC,198511,78449
676,Hancock County,IN,298894,83070
677,Chelan County,WA,525809,79926
678,Sullivan County,NY,295257,79658
679,Oconee County,SC,261005,80180
680,James City County,VA,450087,81199
681,Forrest County,MS,167959,78110
682,Cole County,MO,242588,76969
683,Cattaraugus County,NY,143007,76439
684,Ross County,OH,188908,76606
685,Augusta County,VA,324170,78064
686,White County,AR,183770,77755
687,Clallam County,WA,480710,77805
688,Anderson County,TN,277248,78913
689,Cayuga County,NY,197529,74998
690,Walker County,TX,260616,78870
691,Cheshire County,NH,342720,77350
692,Valencia County,NM,288416,78080
693,Erie County,OH,204460,74501
694,Van Buren County,MI,236543,75692
695,Hancock County,OH,216170,74861
696,Chatham County,NC,545782,79864
697,Vermilion County,IL,81870,72337
698,Raleigh County,WV,136789,72882
699,Grays Harbor County,WA,318636,77038
700,Scioto County,OH,121847,72194
701,Somerset County,PA,156561,72710
702,Wood County,WI,195828,73993
703,Jackson County,GA,374999,83936
704,Lonoke County,AR,212761,75225
705,Lauderdale County,MS,119082,70904
706,Walton County,FL,703277,83304
707,Kauai County,HI,945509,73810
708,Putnam County,FL,203721,74731
709,Grand Forks County,ND,252183,72413
710,McKinley County,NM,195383,69830
711,Lea County,NM,159601,72452
712,Riley County,KS,233973,71108
713,Fauquier County,VA,573452,74664
714,Christian County,KY,179065,73037
715,Broomfield County,CO,651924,76121
716,Pottawatomie County,OK,166218,73533
717,Robertson County,TN,353551,75470
718,Creek County,OK,185028,72699
719,York County,VA,427577,71341
720,Surry County,NC,215083,71403
721,Morgan County,IN,274720,72236
722,Tooele County,UT,470029,79934
723,Franklin County,MA,335029,70894
724,Iberia Parish,LA,154269,68327
725,Portage County,WI,265955,70718
726,Lewis and Clark County,MT,441458,73832
727,Greene County,TN,211182,71405
728,Boone County,IN,386483,74164
729,Ward County,ND,250314,68870
730,Troup County,GA,208821,70191
731,Greenwood County,SC,151662,69267
732,Columbia County,FL,248663,71908
733,Klamath County,OR,286089,70212
734,Allegany County,MD,139979,67267
735,Harrison County,TX,196069,69955
736,Blue Earth County,MN,279545,69631
737,San Patricio County,TX,203962,69954
738,Madison County,NY,211413,67097
739,Shiawassee County,MI,188050,68022
740,Jefferson County,AR,90140,64246
741,Wise County,TX,376768,74895
742,Carteret County,NC,438987,69380
743,Walker County,GA,214904,68915
744,Lake County,CA,318670,68191
745,Franklin County,NC,345154,74539
746,Oldham County,KY,406909,69431
747,Catoosa County,GA,268681,68826
748,Butler County,KS,225908,68240
749,McCracken County,KY,163234,67490
750,Jones County,MS,144472,66569
751,Otero County,NM,208898,68823
752,Aroostook County,ME,158947,67255
753,Williamson County,IL,137140,66695
754,Laurens County,SC,152377,67965
755,Belmont County,OH,133508,65509
756,Muskogee County,OK,137238,66354
757,Grant County,IN,126129,66022
758,Rice County,MN,322258,67693
759,Spalding County,GA,232532,68919
760,Wayne County,IN,147235,66273
761,Ionia County,MI,214874,66809
762,Apache County,AZ,289668,65432
763,Montcalm County,MI,196599,67433
764,Marquette County,MI,215551,66661
765,Wilkes County,NC,223849,65784
766,Harrison County,WV,146961,64915
767,Armstrong County,PA,145712,64747
768,Crow Wing County,MN,332485,67948
769,Adams County,IL,167527,64725
770,Chippewa County,WI,283398,66807
771,Isabella County,MI,189665,64447
772,Warren County,NY,328012,65599
773,Starr County,TX,108902,65728
774,Marion County,OH,159613,64642
775,Jefferson County,OH,116760,64330
776,Tehama County,CA,311107,65245
777,Sauk County,WI,297921,65777
778,Walker County,AL,177329,64339
779,Clay County,MN,271090,65929
780,Chaves County,NM,135392,63894
781,Columbia County,PA,215846,64926
782,Kershaw County,SC,226780,67751
783,Mason County,WA,442806,68166
784,Nacogdoches County,TX,208345,64862
785,Carbon County,PA,240993,65460
786,Salem County,NJ,259010,65117
787,Pulaski County,KY,158177,65795
788,Coos County,OR,349484,64990
789,Rutherford County,NC,197906,64963
790,Liberty County,GA,224308,68030
791,Hamblen County,TN,233560,65168
792,Lamar County,MS,248126,65783
793,Warrick County,IN,258579,65185
794,Belknap County,NH,459704,64781
795,Effingham County,GA,305862,69041
796,Darlington County,SC,140100,62398
797,San Benito County,CA,767374,67579
798,Lincoln County,SD,361400,70987
799,Pope County,AR,185981,64065
800,Georgetown County,SC,400857,64722
801,Athens County,OH,159251,58979
802,Lee County,NC,269148,65476
803,Garfield County,OK,126057,61920
804,Hall County,NE,230729,62097
805,Knox County,OH,256569,63183
